Most negative lemmas,Most positive lemmas
"('unattentive', 2.15)","('archery', 4.44)"
"('disbelief', 2.152542372881356)","('bonsai', 4.44)"
"('snide', 2.1538461538461537)","('addicted', 4.4393939393939394)"
"('jagged', 2.1538461538461537)","('meticulously', 4.439024390243903)"
"('bait', 2.1538461538461537)","('thoughtfully', 4.439024390243903)"
"('disgust', 2.156862745098039)","('blemish', 4.4375)"
"('blandness', 2.1578947368421053)","('mouthwash', 4.4375)"
"('inefficient', 2.16)","('vaulted', 4.4375)"
"('unorganized', 2.160377358490566)","('personalize', 4.4375)"
"('investigation', 2.161290322580645)","('submarine', 4.4375)"
"('gnat', 2.1666666666666665)","('wellness', 4.436619718309859)"
"('confrontation', 2.1666666666666665)","('awesomeness', 4.436241610738255)"
"('parasite', 2.1666666666666665)","('barry', 4.435897435897436)"
"('translucent', 2.1666666666666665)","('poetry', 4.4324324324324325)"
"('unsuspecting', 2.1724137931034484)","('heavenly', 4.4317718940936865)"
"('tepid', 2.1739130434782608)","('alan', 4.431372549019608)"
"('nastiness', 2.176470588235294)","('lovingly', 4.428571428571429)"
"('retard', 2.176470588235294)","('thoughtfulness', 4.428571428571429)"
"('blob', 2.1785714285714284)","('reed', 4.428571428571429)"
"('slop', 2.1785714285714284)","('uplifting', 4.428571428571429)"
"('reschedule', 2.1797752808988764)","('goulash', 4.428571428571429)"
"('reconcile', 2.1818181818181817)","('sharable', 4.428571428571429)"
"('unfolded', 2.1818181818181817)","('savored', 4.428571428571429)"
"('coldly', 2.1818181818181817)","('delectably', 4.428571428571429)"
"('explicitly', 2.1818181818181817)","('chanterelle', 4.428571428571429)"
"('lint', 2.1818181818181817)","('crag', 4.428571428571429)"
"('surveillance', 2.1818181818181817)","('immaculate', 4.427350427350428)"
"('incapable', 2.1818181818181817)","('informative', 4.426506024096385)"
"('worse', 2.1844540407156074)","('mindful', 4.424242424242424)"
"('yee', 2.1875)","('superb', 4.422273781902552)"
"('mower', 2.1875)","('thorough', 4.421739130434783)"
"('violation', 2.1911764705882355)","('bliss', 4.4206896551724135)"
"('cuticle', 2.1914893617021276)","('pomme', 4.42)"
"('disinterested', 2.19672131147541)","('blessed', 4.4186046511627906)"
"('nonchalant', 2.2)","('hydraulic', 4.416666666666667)"
"('unemployed', 2.2)","('asymmetrical', 4.416666666666667)"
"('revolting', 2.2)","('jordan', 4.416666666666667)"
"('smug', 2.2)","('lounger', 4.416666666666667)"
"('nausea', 2.2)","('congratulate', 4.416666666666667)"
"('sympathize', 2.2)","('rend', 4.416666666666667)"
"('immature', 2.2058823529411766)","('impersonation', 4.416666666666667)"
"('representative', 2.2071428571428573)","('envious', 4.416666666666667)"
"('particle', 2.210526315789474)","('retractable', 4.416666666666667)"
"('unkempt', 2.210526315789474)","('lam', 4.416666666666667)"
"('useless', 2.2138364779874213)","('insightful', 4.416666666666667)"
"('pleading', 2.2142857142857144)","('candlelight', 4.416666666666667)"
"('belligerent', 2.217391304347826)","('author', 4.413793103448276)"
"('vomit', 2.220183486238532)","('bookshop', 4.413793103448276)"
"('screwed', 2.220532319391635)","('lily', 4.413333333333333)"
"('investigating', 2.2222222222222223)","('delectable', 4.413249211356467)"
"('boycott', 2.2222222222222223)","('royalty', 4.413043478260869)"
"('untrained', 2.2222222222222223)","('raja', 4.411764705882353)"
"('publicly', 2.2222222222222223)","('colin', 4.411764705882353)"
"('dismal', 2.2238805970149254)","('kinky', 4.411764705882353)"
"('worthless', 2.225806451612903)","('heaven', 4.410295230885692)"
"('contracted', 2.227272727272727)","('chia', 4.409090909090909)"
"('incorrect', 2.2289156626506026)","('ambassador', 4.409090909090909)"
"('invoice', 2.230769230769231)","('seth', 4.409090909090909)"
"('poor', 2.2322330097087377)","('woohoo', 4.406976744186046)"
"('dump', 2.232415902140673)","('scrumptious', 4.405109489051095)"
"('horribly', 2.2327586206896552)","('butler', 4.404255319148936)"
"('visibly', 2.2333333333333334)","('persona', 4.4)"
"('proceeds', 2.2336448598130842)","('majestic', 4.4)"
"('slopped', 2.235294117647059)","('sermon', 4.4)"
"('threatening', 2.236842105263158)","('canon', 4.4)"
"('thirdly', 2.238095238095238)","('turquoise', 4.4)"
"('broom', 2.238095238095238)","('victor', 4.4)"
"('turd', 2.24)","('eloquent', 4.4)"
"('unresponsive', 2.24)","('poco', 4.4)"
"('lukewarm', 2.240740740740741)","('inhale', 4.4)"
"('utility', 2.242424242424242)","('sphere', 4.4)"
"('jackass', 2.242424242424242)","('newton', 4.4)"
"('bogus', 2.2439024390243905)","('shading', 4.4)"
"('permission', 2.2452830188679247)","('eucalyptus', 4.4)"
"('cursory', 2.25)","('excelente', 4.4)"
"('alliance', 2.25)","('phenomenally', 4.4)"
"('pretended', 2.25)","('woven', 4.4)"
"('unsatisfactory', 2.25)","('otherworldly', 4.4)"
"('troubling', 2.25)","('outlaw', 4.4)"
"('cancellation', 2.25)","('nigori', 4.4)"
"('tipper', 2.25)","('chimney', 4.4)"
"('overcharge', 2.25)","('overture', 4.4)"
"('ugh', 2.2532751091703056)","('sift', 4.4)"
"('apologize', 2.2554744525547443)","('chalet', 4.4)"
"('sarcastic', 2.257142857142857)","('chauffeur', 4.4)"
"('improperly', 2.2580645161290325)","('selfishly', 4.4)"
"('urine', 2.2588235294117647)","('neighborly', 4.4)"
"('marginal', 2.260869565217391)","('onwards', 4.4)"
"('acknowledged', 2.2615384615384615)","('cinch', 4.4)"
"('semblance', 2.263157894736842)","('ped', 4.4)"
"('ryder', 2.263157894736842)","('joyfully', 4.4)"
"('remake', 2.264367816091954)","('peripheral', 4.4)"
"('lease', 2.2660944206008584)","('obsession', 4.397590361445783)"
"('rape', 2.2666666666666666)","('heartbeat', 4.396946564885496)"
"('medic', 2.2666666666666666)","('collectible', 4.394736842105263)"
"('unsatisfying', 2.269230769230769)","('pied', 4.394736842105263)"
"('hag', 2.272727272727273)","('humidor', 4.393939393939394)"
"('flinch', 2.272727272727273)","('inspiration', 4.391891891891892)"
"('uneven', 2.274074074074074)","('oolong', 4.391304347826087)"
"('vile', 2.2777777777777777)","('fantastic', 4.391092225369846)"
"('curled', 2.2777777777777777)","('communicative', 4.388888888888889)"
"('deceptive', 2.2777777777777777)","('emotionally', 4.388888888888889)"
"('upset', 2.279126213592233)","('smitten', 4.388888888888889)"
"('dreadful', 2.283333333333333)","('scrambler', 4.388888888888889)"
"('embarrassment', 2.2857142857142856)","('regent', 4.387096774193548)"
"('blaming', 2.2857142857142856)","('unobtrusive', 4.387096774193548)"
"('obese', 2.2857142857142856)","('scorpion', 4.386363636363637)"
"('inconsiderate', 2.2857142857142856)","('divine', 4.38477366255144)"
"('insect', 2.2857142857142856)","('tailor', 4.384615384615385)"
"('muttering', 2.2857142857142856)","('muffler', 4.384615384615385)"
"('meanwhile', 2.2868217054263567)","('tam', 4.384615384615385)"
"('unappetizing', 2.287037037037037)","('stuffiness', 4.384615384615385)"
"('cocky', 2.2903225806451615)","('monastery', 4.384615384615385)"
"('murky', 2.2916666666666665)","('naughty', 4.384615384615385)"
"('regulation', 2.2916666666666665)","('beagle', 4.384615384615385)"
"('flawed', 2.2941176470588234)","('eclipse', 4.384615384615385)"
"('racial', 2.2941176470588234)","('zink', 4.384615384615385)"
"('haphazard', 2.2941176470588234)","('increment', 4.384615384615385)"
"('virus', 2.2962962962962963)","('escolar', 4.384615384615385)"
"('mealy', 2.2962962962962963)","('marcel', 4.384615384615385)"
"('response', 2.2970168612191957)","('strenuous', 4.384615384615385)"
"('floret', 2.3)","('explorer', 4.384615384615385)"
"('dreg', 2.3)","('wonderful', 4.3821022727272725)"
"('ghastly', 2.3)","('magnificent', 4.381502890173411)"
"('moot', 2.3)","('quilt', 4.380952380952381)"
"('unwashed', 2.3)","('whoo', 4.380952380952381)"
"('sedan', 2.3)","('hale', 4.380952380952381)"
"('projectile', 2.3)","('fern', 4.380952380952381)"
"('stitching', 2.3)","('midwife', 4.380952380952381)"
"('humiliating', 2.3)","('lance', 4.380952380952381)"
"('protest', 2.3043478260869565)","('feminine', 4.380952380952381)"
"('nasty', 2.306648575305292)","('poncho', 4.380952380952381)"
"('untouched', 2.3066666666666666)","('fetish', 4.380952380952381)"
"('frustration', 2.3068181818181817)","('fabulous', 4.380104712041885)"
"('omen', 2.3076923076923075)","('thoughtful', 4.378378378378378)"
"('artificially', 2.3076923076923075)","('bravo', 4.375)"
"('notified', 2.308333333333333)","('escalade', 4.375)"
"('gross', 2.309049079754601)","('homeowner', 4.375)"
"('miserably', 2.3095238095238093)","('unanimous', 4.375)"
"('ruined', 2.3104631217838767)","('invigorating', 4.375)"
"('responsibility', 2.3115942028985508)","('dieter', 4.375)"
"('enemy', 2.3137254901960786)","('sumac', 4.375)"
"('incident', 2.3137254901960786)","('wonderfully', 4.373219373219373)"
"('airway', 2.3140495867768593)","('perfect', 4.372985581000848)"
"('incorrectly', 2.317073170731707)","('playful', 4.372093023255814)"
"('ambulance', 2.3181818181818183)","('spotless', 4.371727748691099)"
"('arriba', 2.3181818181818183)","('praline', 4.37037037037037)"
"('rip', 2.32)","('dreamy', 4.369565217391305)"
"('rust', 2.3214285714285716)","('skilled', 4.369127516778524)"
"('stolen', 2.3254437869822486)","('kuge', 4.368421052631579)"
"('expiration', 2.3285714285714287)","('intricate', 4.36734693877551)"
"('bluntly', 2.3333333333333335)","('impeccably', 4.36734693877551)"
"('idiotic', 2.3333333333333335)","('symphony', 4.367088607594937)"
"('inserted', 2.3333333333333335)","('vert', 4.366666666666666)"
"('haggard', 2.3333333333333335)","('rigorous', 4.363636363636363)"
"('accountability', 2.3333333333333335)","('neurologist', 4.363636363636363)"
"('sickly', 2.3333333333333335)","('tamara', 4.363636363636363)"
"('meaningless', 2.3333333333333335)","('agreeable', 4.363636363636363)"
"('berger', 2.3333333333333335)","('discipline', 4.363636363636363)"
"('disheartening', 2.3333333333333335)","('environmental', 4.363636363636363)"
"('rampant', 2.3333333333333335)","('apex', 4.363636363636363)"
"('unwelcome', 2.3333333333333335)","('poundcake', 4.363636363636363)"
"('abnormal', 2.3333333333333335)","('delicioso', 4.363636363636363)"
"('caller', 2.3333333333333335)","('cowgate', 4.363636363636363)"
"('receipt', 2.3342175066313)","('taproom', 4.363636363636363)"
"('failure', 2.3359375)","('secondhand', 4.363636363636363)"
"('stale', 2.3366174055829227)","('inception', 4.363636363636363)"
"('admitted', 2.3407407407407406)","('harmonious', 4.363636363636363)"
"('wasted', 2.342042755344418)","('longue', 4.363636363636363)"
"('sympathy', 2.3448275862068964)","('baxter', 4.363636363636363)"
"('dissatisfied', 2.3457943925233646)","('soprano', 4.363636363636363)"
"('moron', 2.3472222222222223)","('rival', 4.3630573248407645)"
"('slimy', 2.347826086956522)","('piccolo', 4.36)"
"('rag', 2.3506493506493507)","('generosity', 4.36)"
"('contract', 2.351585014409222)","('awesome', 4.3597170019898295)"
"('repeated', 2.352112676056338)","('helmet', 4.359375)"
"('inexperienced', 2.352272727272727)","('kindness', 4.359223300970874)"
"('manager', 2.3527186761229313)","('sensory', 4.358974358974359)"
"('inconvenience', 2.3555555555555556)","('poodle', 4.357142857142857)"
"('solicited', 2.357142857142857)","('botanical', 4.357142857142857)"
"('knowingly', 2.357142857142857)","('chant', 4.357142857142857)"
"('choke', 2.358490566037736)","('sod', 4.357142857142857)"
"('inattentive', 2.3594771241830066)","('morocco', 4.357142857142857)"
"('sandpaper', 2.3636363636363638)","('ease', 4.356608478802992)"
"('shatter', 2.3636363636363638)","('savor', 4.3565891472868215)"
"('lawsuit', 2.3636363636363638)","('brett', 4.354838709677419)"
"('childish', 2.3636363636363638)","('heartily', 4.354838709677419)"
"('reiterated', 2.3636363636363638)","('aerial', 4.354838709677419)"
"('illegally', 2.3636363636363638)","('parasol', 4.352941176470588)"
"('drainage', 2.3684210526315788)","('flawlessly', 4.352941176470588)"
"('discernible', 2.3684210526315788)","('mobility', 4.352941176470588)"
"('threat', 2.3684210526315788)","('wod', 4.352941176470588)"
"('scowl', 2.3684210526315788)","('pillowy', 4.352941176470588)"
"('lackadaisical', 2.3684210526315788)","('coed', 4.352941176470588)"
"('hideous', 2.369565217391304)","('beautifully', 4.351270553064275)"
"('bleeding', 2.371794871794872)","('disappoint', 4.350462487153135)"
"('inform', 2.372448979591837)","('skyscraper', 4.35)"
"('dehydration', 2.375)","('savoy', 4.348837209302325)"
"('loudly', 2.385869565217391)","('captivating', 4.3478260869565215)"
"('inappropriately', 2.388888888888889)","('masterfully', 4.3478260869565215)"
"('decal', 2.388888888888889)","('addiction', 4.347222222222222)"
"('parcel', 2.391304347826087)","('demonstration', 4.34375)"
"('intelligence', 2.391304347826087)","('luscious', 4.343283582089552)"
"('ing', 2.391304347826087)","('happiness', 4.342105263157895)"
"('policy', 2.3914956011730206)","('artistic', 4.341463414634147)"
"('faulty', 2.393939393939394)","('graham', 4.341269841269841)"
"('yelling', 2.3958868894601544)","('ville', 4.339285714285714)"
"('nope', 2.398422090729783)","('marvelous', 4.337349397590361)"
"('redeem', 2.3986013986013988)","('rob', 4.333333333333333)"
"('swab', 2.4)","('genuinely', 4.333333333333333)"
"('contraction', 2.4)","('compost', 4.333333333333333)"
"('erased', 2.4)","('conscientious', 4.333333333333333)"
"('fooling', 2.4)","('incomparable', 4.333333333333333)"
"('unforgivable', 2.4)","('listener', 4.333333333333333)"
"('unexciting', 2.4)","('formation', 4.333333333333333)"
"('wristlet', 2.4)","('fearful', 4.333333333333333)"
"('browning', 2.4)","('hydrate', 4.333333333333333)"
"('unfairly', 2.4)","('omega', 4.333333333333333)"
"('robbery', 2.4)","('intensity', 4.333333333333333)"
"('pumice', 2.4)","('presto', 4.333333333333333)"
"('runaround', 2.4)","('ode', 4.333333333333333)"
"('viscous', 2.4)","('invasion', 4.333333333333333)"
"('leathery', 2.4)","('wonderland', 4.333333333333333)"
"('dissatisfaction', 2.40625)","('autograph', 4.333333333333333)"
"('mildew', 2.4074074074074074)","('sourness', 4.333333333333333)"
"('profanity', 2.4074074074074074)","('martial', 4.333333333333333)"
"('grime', 2.409090909090909)","('sponsor', 4.333333333333333)"
"('musty', 2.4107142857142856)","('razz', 4.333333333333333)"
"('invisible', 2.411764705882353)","('briny', 4.333333333333333)"
"('unanswered', 2.411764705882353)","('onyx', 4.333333333333333)"
"('miserable', 2.4123711340206184)","('clockwork', 4.333333333333333)"
"('unimpressive', 2.4130434782608696)","('corking', 4.333333333333333)"
"('mediocre', 2.414161996943454)","('cuttlefish', 4.333333333333333)"
"('existent', 2.414285714285714)","('kafta', 4.333333333333333)"
"('lumpy', 2.4146341463414633)","('quartet', 4.333333333333333)"
"('edible', 2.415559772296015)","('resistant', 4.333333333333333)"
"('gristly', 2.4166666666666665)","('budding', 4.333333333333333)"
"('fatal', 2.4166666666666665)","('antler', 4.333333333333333)"
"('notification', 2.4166666666666665)","('vita', 4.333333333333333)"
"('agony', 2.4166666666666665)","('overtone', 4.333333333333333)"
"('lopsided', 2.4166666666666665)","('playtime', 4.333333333333333)"
"('crumpled', 2.4166666666666665)","('hemp', 4.333333333333333)"
"('behavior', 2.4170616113744074)","('inaugural', 4.333333333333333)"
"('unhappy', 2.4192439862542954)","('notch', 4.33181522446324)"
"('operator', 2.422222222222222)","('grateful', 4.330882352941177)"
